Time (s),average force ratio,displacement magnitude (m),displacement x (m),displacement y (m),displacement (polar) r (m),displacement (polar) θ (m),fluid pressure (Pa),force magnitude (N),force x (N),force y (N),local force ratio,maximum force ratio,maximum local force ratio,mechanical time (s),velocity magnitude (m/s),velocity x (m/s),velocity y (m/s),velocity (polar) r (m/s),velocity (polar) θ (m/s)
0.05,0.00284532,0.00176757,4.67459e-05,-6.74174e-05,-0.00175693,3.0042e-06,0,420.2,-28.0154,-20.9159,0.000139729,0.892986,0.731869,0.05,0.137236,0.00365743,-0.00526748,-0.136482,0.000227476
0.055,0.00286424,0.00240703,7.27003e-05,-7.44926e-05,-0.00233259,1.44492e-06,0,524.113,22.2986,55.4885,0.00186576,0.892169,1,0.055,0.213726,0.0203211,0.0142074,-0.108162,-0.0140311
0.06,0.00286709,0.0032522,8.59243e-05,0.00013844,-0.00300687,-0.000100564,0,347.911,18.7436,14.2559,0.00387093,0.893927,1,0.06,0.197597,-0.00314888,0.0610504,-0.125088,-0.024605
0.065,0.0028773,0.00411219,2.26915e-05,0.000342806,-0.00372672,-0.000106664,0,295.34,13.9327,-25.5411,0.00659358,0.89675,1,0.065,0.206856,-0.00907337,0.0183973,-0.13415,0.0217246
0.07,0.00288049,0.00492261,-1.50603e-05,0.000452531,-0.00438117,-8.56136e-05,0,344.544,-12.3314,1.39932,0.009548,0.899329,1,0.07,0.182416,-0.00455124,0.0232264,-0.141098,0.000162249
0.075,0.00288164,0.00575831,-8.20777e-05,0.000571524,-0.0050498,-0.000116341,0,404.627,-10.3564,-12.0482,0.0114461,0.904291,1,0.075,0.177412,-0.0213422,0.0254239,-0.131094,-0.017341
0.08,0.00289539,0.006671,-0.000134561,0.000651839,-0.00581068,-9.86293e-05,0,622.56,-27.0244,43.7611,0.0148655,0.908704,1,0.08,0.231919,-0.00199125,0.0103848,-0.183337,0.0172255
0.085,0.00292119,0.00826317,-3.43992e-05,0.000592254,-0.00720389,-8.81293e-05,0,604.598,-42.9228,-0.427715,0.0185076,0.911091,1,0.085,0.36166,0.0342895,-0.0422212,-0.289531,-0.00792553
0.09,0.00292496,0.0097466,0.000138527,0.000492274,-0.00843864,-9.62383e-05,0,624.021,-35.3364,-29.0465,0.0207933,0.91203,1,0.09,0.301389,0.0340532,0.000211684,-0.223274,-0.00581882
0.095,0.00291781,0.011125,0.000363993,0.000420313,-0.0096548,6.89861e-05,0,663.597,-6.84646,-56.6611,0.0228679,0.913567,1,0.095,0.319923,0.0627704,-0.0333446,-0.274057,0.030789
0.1,0.00293284,0.0125472,0.000597982,0.00036632,-0.0109681,0.000130369,0,611.599,54.0494,17.5329,0.0250582,0.918863,1,0.1,0.334311,0.0428834,0.0195624,-0.26328,-0.0175447
0.105,0.0029321,0.0137818,0.000917423,0.000385496,-0.0121156,0.000100989,0,432.76,-18.0453,4.22506,0.0275097,0.922923,1,0.105,0.263189,0.0558891,-0.022367,-0.216324,0.0128695
0.11,0.00292541,0.0150326,0.0011876,0.000298136,-0.0132674,0.000219919,0,557.17,-3.66288,18.8787,0.0259154,0.921709,1,0.11,0.261811,0.0573198,-0.014128,-0.227277,0.0129777
0.115,0.00292009,0.01617,0.00142369,0.000223001,-0.0142867,0.000302314,0,369.725,-27.5782,7.2335,0.0260473,0.922394,1,0.115,0.22929,0.0217328,-0.0188599,-0.176914,0.019153
0.12,0.00291963,0.0171726,0.00158128,7.66911e-05,-0.0151399,0.000379537,0,232.952,7.0311,9.28777,0.0298729,0.925094,1,0.12,0.208219,0.0451633,-0.0394091,-0.167569,-0.00177093
0.125,0.00293433,0.0181101,0.001777,-0.000102322,-0.0159854,0.000459207,0,397.766,41.4993,25.2276,0.0325793,0.926703,1,0.125,0.245468,0.0358605,-0.0327109,-0.200138,0.0126463
0.13,0.00292576,0.0191569,0.00202319,-0.000195289,-0.016955,0.000506644,0,182.823,-15.6815,1.61296,0.0303557,0.92853,1,0.13,0.209226,0.0474974,-0.0148953,-0.178949,0.0208894
0.135,0.00292499,0.0201527,0.00225069,-0.0002951,-0.01786,0.000625091,0,254.741,-0.679833,15.1735,0.0327849,0.928554,1,0.135,0.221275,0.0505509,-0.0299597,-0.193119,0.016052
0.14,0.00292102,0.0211694,0.00248455,-0.000402814,-0.0187638,0.000684639,0,184.267,-1.54763,-3.06366,0.032142,0.929307,1,0.14,0.220832,0.0470144,-0.0194009,-0.182328,-0.0178676
0.145,0.00293006,0.0221758,0.00274749,-0.000520842,-0.0196444,0.000641558,0,423.466,-16.4748,-37.7044,0.0374222,0.931718,1,0.145,0.233706,0.0558927,-0.0314321,-0.177609,0.00259312
0.15,0.00293963,0.0232676,0.00303067,-0.000711412,-0.0206017,0.000730716,0,257.616,-3.00056,18.1839,0.0376832,0.932938,1,0.15,0.2263,0.0684062,-0.0293674,-0.203136,0.00381491
