Time (s),average force ratio,displacement magnitude (m),displacement x (m),displacement y (m),displacement (polar) r (m),displacement (polar) θ (m),fluid pressure (Pa),force magnitude (N),force x (N),force y (N),local force ratio,maximum force ratio,maximum local force ratio,mechanical time (s),velocity magnitude (m/s),velocity x (m/s),velocity y (m/s),velocity (polar) r (m/s),velocity (polar) θ (m/s)
0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
0.005,0.00280951,1.31455e-05,1.25236e-06,4.02606e-07,6.1594e-06,3.96685e-07,0,8.25121,0.0204454,-0.528359,2.61701e-06,0.887381,0.731524,0.005,0.00217589,0.000604581,-0.000415035,-0.00101314,9.08426e-05
0.01,0.00280627,1.40356e-05,3.56564e-06,-1.93432e-06,-3.03256e-07,-2.99448e-07,0,2.07894,-0.00780315,0.893337,6.67569e-07,0.886832,0.731531,0.01,0.00363875,0.000323112,-0.000257315,-0.00361208,-0.000213765
0.015,0.00280872,3.50354e-05,4.80051e-06,-2.03886e-06,-3.15483e-05,1.12606e-07,0,12.4043,0.512025,-1.53628,3.76983e-06,0.886571,0.731601,0.015,0.0216123,0.00105517,-0.000890654,-0.0215259,0.000239605
0.02,0.00281121,0.000135338,8.8489e-06,-6.77906e-06,-0.000133552,7.88777e-07,0,2.28771,-0.184277,0.37815,7.2967e-07,0.888139,0.731524,0.02,0.0218293,0.000662783,-0.000801265,-0.0217539,-5.07661e-06
0.025,0.00281164,0.000255395,1.13121e-05,-1.02118e-05,-0.000253314,3.22869e-07,0,4.63002,0.0581996,-0.441401,1.48942e-06,0.888777,0.731503,0.025,0.0270081,0.000394561,-0.000821298,-0.0268422,-4.19264e-05
0.03,0.00281103,0.000409395,1.38694e-05,-1.59659e-05,-0.000406186,7.26765e-07,0,5.36812,0.295968,-0.134624,1.72941e-06,0.888041,0.731666,0.03,0.0348643,0.000697536,-0.00138851,-0.0345627,0.000111331
0.035,0.00281429,0.00060195,1.77891e-05,-2.31149e-05,-0.000597083,1.06394e-06,0,7.58915,0.125354,-0.246713,2.41311e-06,0.888551,0.731676,0.035,0.04252,0.000803339,-0.00149705,-0.042192,5.95118e-05
0.04,0.00281989,0.000856026,2.29438e-05,-3.24413e-05,-0.000849759,1.66154e-06,0,13.8861,0.568327,-0.57848,4.45129e-06,0.89031,0.731687,0.04,0.0606826,0.0013618,-0.00231834,-0.0604068,0.000162917
0.045,0.00282676,0.0012206,3.19552e-05,-4.64677e-05,-0.00121284,2.29429e-06,0,22.3673,0.875501,-0.792731,7.19113e-06,0.891771,0.731739,0.045,0.087387,0.00231132,-0.00335247,-0.0869685,8.86861e-05
