radius_mm,count,temperature_mean_c,temperature_median_c,temperature_std_c,displacement_mean_mm,displacement_median_mm,displacement_std_mm
115.0,2383,125.46786701636591,132.934,18.936480367583503,0.3728481284515317,0.358463,0.12131709074191165
125.0,2436,108.89857356321839,117.342,24.71647283504153,0.28644440865763543,0.2981245,0.11390377856533883
135.0,2666,97.11149549887472,104.075,25.135721084803553,0.23442458319579895,0.2471585,0.08976158091164432
145.0,2938,86.31392038801907,88.0635,23.42937941653119,0.20503742226004085,0.20405600000000002,0.07207801770563925
155.0,3104,80.75928923969073,78.8225,19.981612627068127,0.1913435430412371,0.188277,0.06027151525153685
165.0,3335,75.63979208395803,73.357,17.5946659603985,0.17818241415292355,0.179009,0.04446699340008457
175.0,3463,72.06688691885648,70.155,14.930802103391128,0.1685138743863702,0.170032,0.03715665028071023
185.0,3666,68.77370883797055,68.6148,12.734042053404547,0.16033068104200765,0.16172350000000002,0.038124492915568624
195.0,3918,66.25669515058703,67.3654,10.699700888385669,0.15280612011230219,0.156759,0.03970955999826094
205.0,4145,64.06641961399276,65.9403,8.845756657448161,0.1476855729312425,0.152505,0.04526213272953548
215.0,4380,62.16836847031963,64.133,7.5765172608693465,0.14392129344748858,0.148878,0.05073453996876506
225.0,4523,60.96248213575061,62.8512,6.806775927931569,0.13812975315056375,0.139862,0.05615261876091616
235.0,4735,59.584798458289335,61.2705,6.065546860393307,0.13577390367476241,0.13863,0.060439930587692765
245.0,4921,58.36587770778296,59.659,5.436901177772755,0.1331253393619183,0.138256,0.06392852060619279
255.0,4998,57.356040256102446,58.7233,4.9365893452506535,0.12990899309723888,0.1312295,0.06678250477797304
265.0,5280,56.171275454545466,57.2825,4.436240314844444,0.12876819113636365,0.13198,0.06937216044153043
275.0,5532,55.08628423716558,55.9714,4.020271239433487,0.12866906787472884,0.1338605,0.07079759644392736
285.0,5657,54.10633972070002,54.921,3.6359116525748667,0.12816097379883332,0.132555,0.07137866274032961
295.0,6065,53.132114014839246,53.7635,3.299560200065606,0.12918480232976093,0.134402,0.07092917650221763
305.0,6158,52.300540418967195,52.764,2.976495595894774,0.1274950810993829,0.133546,0.07089265348459603
315.0,6140,51.37877571661238,51.7744,2.7047699338560993,0.1311192671237785,0.135565,0.06889543818721468
325.0,6614,50.59426873299062,50.8832,2.4860367569716386,0.13140284204717267,0.13774,0.0686054269493097
335.0,6816,49.89036566901408,50.2568,2.2246271757697684,0.13048372630575117,0.13465850000000001,0.06671181289962765
345.0,6855,49.14342246535376,49.4315,2.0392921752861457,0.1323708515681984,0.135291,0.0655876714846581
355.0,7044,48.4931241766042,48.7019,1.8660950127928184,0.13269095015616128,0.1371705,0.06423175199507031
365.0,7224,47.935553862126255,48.2031,1.681506909263917,0.13081882904208195,0.13136150000000002,0.06233321302492024
375.0,7636,47.28814829753798,47.4856,1.5340574731089096,0.1327886521215296,0.1365155,0.06156677586302017
385.0,7743,46.74208417925868,46.9079,1.3860212160580192,0.1327675599380085,0.135573,0.059919195512556624
395.0,8043,46.235649757553155,46.4104,1.251064860315451,0.13262085153549671,0.13474,0.05820035166518936
405.0,8097,45.7601836729653,45.8895,1.1429839002985112,0.13209510595282203,0.1351,0.05710614952029633
415.0,8467,45.3174697295382,45.4496,1.0383213415380477,0.13100665712767215,0.132659,0.05629167736135213
425.0,8395,44.8879140559857,45.0035,0.9302199264594629,0.130850637260274,0.132619,0.05473358612673603
435.0,8712,44.50127770890725,44.6038,0.8492520857812998,0.1299226456496786,0.131592,0.05397368671220228
445.0,8810,44.13289509648127,44.2397,0.771530651376185,0.12894557246311011,0.1309905,0.053278335756445465
455.0,9152,43.79363099868881,43.87395,0.693063354769824,0.12799553538024475,0.128862,0.05161757498265821
465.0,9412,43.48030984912877,43.5494,0.6330725596721926,0.12691078787717805,0.1286785,0.05115509819143949
475.0,9548,43.19742365940511,43.26,0.5680109478072429,0.12479207028697112,0.12481249999999999,0.050066935650804216
485.0,9803,42.9067564521065,42.9625,0.5126924517600754,0.1255060482607365,0.127348,0.04920960427486534
495.0,9989,42.720641325458004,42.8043,0.43599527115767134,0.11646083386725399,0.109877,0.04762379367244847
505.0,8471,42.349420174713735,42.3328,0.393143737277881,0.13190983652461338,0.14226,0.04685857773339313
515.0,6988,42.21792697481396,42.2665,0.37310649046259026,0.12067755485117344,0.12102550000000001,0.0466834160856822
525.0,5434,42.01672316893632,42.0554,0.33469646115613766,0.11974343669488406,0.12000150000000001,0.045558237404934594
535.0,4629,41.83247675523871,41.8769,0.30304835574580913,0.11788627319075393,0.117902,0.045492799266125525
545.0,3793,41.66936683364092,41.7165,0.26885977647471115,0.11516505578697601,0.113659,0.04429097333676426
555.0,3309,41.51806134783923,41.5545,0.24017415058189637,0.11338358268359021,0.112297,0.04380625494123305
565.0,2877,41.36055345846368,41.3912,0.2139285844419536,0.11392112290580465,0.113306,0.04312587972718577
575.0,2468,41.233500729335496,41.2575,0.19326776370494392,0.11196507832252837,0.112488,0.04256188971475592
585.0,2184,41.11702197802198,41.14585,0.16857624414297467,0.11012688804945056,0.110525,0.04131960505834653
595.0,2069,41.00347800869986,41.016,0.1487490845987076,0.10926189275012084,0.109088,0.040754020631941335
605.0,1793,40.906383881762416,40.921,0.13211531219589934,0.1071038223647518,0.105623,0.040157705352202526
615.0,1734,40.81223252595156,40.8273,0.12353949915252893,0.10704975628604384,0.106234,0.04035449301066994
625.0,1571,40.732304583068114,40.7506,0.10704661597510184,0.1036434071928708,0.101302,0.03924442365311913
635.0,1471,40.6512727396329,40.6603,0.09303867148891,0.10383647233174711,0.104245,0.03790245384789933
645.0,1246,40.58921926163724,40.5991,0.08613066984138629,0.09940129735152488,0.09451205,0.03926454978186347
655.0,1227,40.52247856560717,40.5367,0.07632558290275232,0.1018516520782396,0.103474,0.03864284244097849
665.0,1153,40.472579618386824,40.4837,0.06412517253491053,0.09696714215091067,0.0942112,0.03629427607470546
675.0,1073,40.41719291705499,40.4232,0.05572464842708664,0.09710745302889096,0.0934127,0.03718408963864577
685.0,971,40.36723810504635,40.3739,0.05363892041812488,0.09989047590113284,0.099916,0.03659242722439966
695.0,937,40.337837246531485,40.3446,0.04456830360244875,0.08971839573105655,0.0846378,0.03473705754572336
705.0,920,40.291262608695654,40.2982,0.039767959633688704,0.09508931065217392,0.0903699,0.03660082465303946
715.0,850,40.25886458823529,40.2642,0.035728489688058654,0.09378126917647059,0.09312345,0.034833407120802795
725.0,841,40.23130558858502,40.2375,0.029796265021084938,0.09129967467300831,0.0896468,0.03339751205619804
735.0,816,40.20383174019609,40.2075,0.027806403197977697,0.08917433602941177,0.0871087,0.03459529464085945
745.0,724,40.1799611878453,40.1838,0.023901189498529252,0.08865572527624309,0.0825372,0.03436535970893538
755.0,746,40.15859504021448,40.1608,0.020153219525592018,0.08571619812332441,0.0858418,0.03284142758795138
765.0,621,40.13933687600644,40.1437,0.018446181768534894,0.08600122125603865,0.0780052,0.034510622079517626
775.0,649,40.1219690292758,40.1234,0.015847728713711803,0.08648686517719568,0.0868789,0.03237094503644989
785.0,638,40.108824921630095,40.1132,0.01273021928789397,0.08154290313479624,0.07792355000000001,0.03091215990075861
795.0,578,40.093001384083045,40.0954,0.012300328925216032,0.08534460363321798,0.08724155,0.033487551320392904
805.0,680,40.08224264705882,40.0838,0.009610118565570586,0.08221514352941177,0.0810274,0.030512103550668756
815.0,476,40.072271848739504,40.0753,0.00969821934530779,0.0795195107142857,0.07546054999999999,0.03202114330888315
825.0,594,40.063048653198656,40.0636,0.007006225119556346,0.08021188131313133,0.07859954999999999,0.029004276519488035
835.0,541,40.054864695009236,40.0564,0.006848532645578275,0.07895501423290205,0.0747948,0.03084654655671452
845.0,473,40.04741712473573,40.0478,0.005678932836018969,0.07940706997885834,0.0773906,0.0294520909931905
855.0,543,40.0422497237569,40.0426,0.004553798434477501,0.07350769558011049,0.0679804,0.029077577090297506
865.0,412,40.03518737864078,40.0346,0.004384410107703982,0.0819773177184466,0.0871468,0.03042373665797836
875.0,485,40.03163484536083,40.0326,0.0034842980467993923,0.07407285175257733,0.0696436,0.028146824310716273
885.0,442,40.027523755656105,40.0283,0.003140461051125021,0.07065163099547511,0.06908115000000001,0.02975635147766253
895.0,504,40.022901785714275,40.023,0.002393317566032951,0.07705089444444445,0.077008,0.02692335824396894
905.0,411,40.02005693430657,40.0209,0.0024313840970483793,0.0736802695863747,0.0764119,0.030080238879163446
915.0,420,40.017470952380954,40.0176,0.0019339237687438446,0.06976925642857143,0.06837305,0.026714081993787806
925.0,436,40.01478623853211,40.015,0.001703827625511087,0.0729858876146789,0.0725613,0.027684810203772874
935.0,384,40.01284583333333,40.0133,0.001444710649188245,0.069868334375,0.0674698,0.02753505787585529
945.0,371,40.010969811320756,40.0113,0.0011588226630095467,0.06903145309973045,0.0666335,0.026070173285956393
955.0,386,40.009409326424866,40.009550000000004,0.001091271657669394,0.06986962227979275,0.06883245,0.02693578117806486
965.0,379,40.008120052770444,40.0082,0.0008134250516603685,0.06715465039577836,0.0653284,0.025995597472241387
975.0,297,40.006950841750836,40.007,0.0007881347496825707,0.06627407575757577,0.06302,0.02673162684604703
985.0,376,40.00592180851064,40.00605,0.0006240110473654313,0.06715468856382979,0.06699755,0.025140876539891804
995.0,381,40.005081364829394,40.0051,0.0005426001976074752,0.06576976771653543,0.0674213,0.026824745521753297
