,value
triangles,2304
cohesive_interfaces,3384
time_step_seconds,2.9794250784962653e-08
steps_completed,11400
final_maximum_temperature_c,140.0
final_monitor_stress_magnitude_mpa,82.4116515370858
yielded_interfaces_final,60
broken_interfaces_final,30
termination_reason,completed prescribed thermal stages
