angle_deg,radius_m,numerical_hoop_compression_mpa,kirsch_hoop_compression_mpa
-178.2861639547104,0.11656659867249201,8.86075853002186,1.5296378234355972
-176.61715654921403,0.1132389075869844,-2.2159486768858034,-2.1358798190288617
-173.38284345078603,0.11323890758698439,-0.5676605905350618,-1.0568575778792575
-171.71383604528967,0.11656659867249201,10.204964814955112,3.5444018035864904
-168.2861639547104,0.11656659867249201,13.047068891174275,5.617306942348406
-166.61715654921403,0.1132389075869844,3.24938437272306,3.3808901661060378
-163.382843450786,0.11323890758698439,7.99544899484371,6.487810882600002
-161.71383604528964,0.11656659867249201,16.917867736262785,11.418588612045422
-158.2861639547104,0.11656659867249201,22.25993811694836,15.314375937012919
-156.61715654921403,0.1132389075869844,15.172363384451808,14.828048498464563
-153.38284345078603,0.1132389075869844,22.443960822568908,19.588127198627436
-151.71383604528967,0.11656659867249201,28.1914021704615,24.202455109091677
-148.28616395471036,0.11656659867249201,35.39032949520818,29.45123517317632
-146.61715654921403,0.11323890758698439,32.12036911996475,30.824898941100173
-143.38284345078603,0.1132389075869844,41.041042942166314,36.66399988241262
-141.71383604528967,0.116566598672492,42.66844930376127,40.354078325405894
-138.2861639547104,0.11656659867249201,50.8573130482348,46.32277078913536
-136.61715654921403,0.1132389075869844,52.05493341813112,49.441985242262504
-133.382843450786,0.11323890758698439,61.54952073199092,55.655826675250516
-131.71383604528964,0.11656659867249201,58.605514670000666,57.92533412852938
-128.2861639547104,0.116566598672492,66.79746086718414,63.894026592258825
-126.617156549214,0.11323890758698439,72.57494966871317,68.43381203510042
-123.382843450786,0.11323890758698439,81.49872966283107,74.27291297641288
-121.71383604528964,0.11656659867249201,74.08159724064565,74.7968697444885
-118.28616395471039,0.11656659867249201,81.28831365045266,80.04564980857306
-116.61715654921403,0.11323890758698439,91.20433558028547,85.50968471888555
-113.38284345078601,0.11323890758698439,98.48066155266662,90.26976341904845
-111.71383604528965,0.116566598672492,87.22896296949027,88.93372898065185
-108.28616395471036,0.11656659867249201,92.57985795910975,92.82951630561939
-106.617156549214,0.11323890758698439,105.690738840772,98.61000103491307
-103.382843450786,0.11323890758698439,110.4409255867011,101.71692175140701
-101.71383604528964,0.116566598672492,96.45869496093037,98.63079797531641
-98.28616395471036,0.116566598672492,99.30653784804113,100.70370311407831
-96.61715654921402,0.1132389075869844,114.2795897851997,106.15466949539227
-93.382843450786,0.11323890758698439,115.9294954167883,107.23369173654194
-91.71383604528964,0.11656659867249201,100.65390738650943,102.7184670942292
-88.28616395471037,0.11656659867249201,100.65390738653117,102.7184670942292
-86.61715654921403,0.1132389075869844,115.92949541677577,107.2336917365419
-83.38284345078601,0.11323890758698439,114.27958978518181,106.15466949539231
-81.71383604528965,0.11656659867249201,99.30653784804663,100.70370311407831
-78.28616395471039,0.11656659867249201,96.45869496088048,98.63079797531641
-76.61715654921404,0.1132389075869844,110.44092558669077,101.71692175140703
-73.382843450786,0.11323890758698439,105.69073884070079,98.61000103491308
-71.71383604528964,0.116566598672492,92.5798579591076,92.8295163056194
-68.28616395471037,0.11656659867249201,87.2289629694907,88.93372898065185
-66.61715654921403,0.11323890758698439,98.48066155270763,90.2697634190485
-63.38284345078603,0.11323890758698439,91.20433558022134,85.50968471888567
-61.71383604528968,0.116566598672492,81.28831365043709,80.04564980857319
-58.2861639547104,0.11656659867249201,74.08159724062502,74.79686974448856
-56.61715654921402,0.11323890758698438,81.49872966287603,74.2729129764129
-53.382843450786005,0.11323890758698439,72.57494966868396,68.4338120351004
-51.71383604528964,0.116566598672492,66.79746086711461,63.894026592258854
-48.28616395471038,0.116566598672492,58.605514669925,57.92533412852943
-46.61715654921401,0.11323890758698439,61.549520731906874,55.6558266752505
-43.382843450786005,0.1132389075869844,52.05493341796754,49.44198524226258
-41.71383604528965,0.116566598672492,50.85731304827437,46.322770789135426
-38.28616395471038,0.11656659867249203,42.66844930358556,40.35407832540597
-36.61715654921404,0.11323890758698439,41.04104294222648,36.663999882412746
-33.382843450786,0.11323890758698439,32.120369119842955,30.82489894110021
-31.713836045289625,0.116566598672492,35.39032949509678,29.451235173176272
-28.286163954710364,0.11656659867249201,28.191402170328207,24.202455109091698
-26.617156549214023,0.11323890758698439,22.443960822474125,19.5881271986275
-23.382843450786012,0.1132389075869844,15.172363384329477,14.828048498464621
-21.71383604528964,0.116566598672492,22.259938116846044,15.314375937012933
-18.286163954710364,0.11656659867249201,16.91786773621925,11.418588612045422
-16.617156549214005,0.11323890758698439,7.995448994809378,6.48781088260001
-13.382843450785991,0.11323890758698439,3.249384372734372,3.3808901661060453
-11.713836045289636,0.116566598672492,13.047068891159553,5.617306942348399
-8.286163954710373,0.116566598672492,10.204964814952675,3.5444018035864757
-6.617156549214016,0.1132389075869844,-0.5676605905983333,-1.0568575778792426
-3.3828434507859977,0.11323890758698439,-2.215948676854763,-2.1358798190288617
-1.7138360452896366,0.11656659867249201,8.860758530017161,1.5296378234355972
1.7138360452896337,0.11656659867249201,8.860758530019336,1.5296378234355972
3.38284345078599,0.11323890758698442,-2.2159486768802537,-2.1358798190288395
6.617156549214007,0.1132389075869844,-0.567660590547914,-1.0568575778792426
8.286163954710366,0.116566598672492,10.204964814954108,3.5444018035864757
11.713836045289636,0.116566598672492,13.047068891124772,5.617306942348399
13.382843450785991,0.11323890758698439,3.249384372753071,3.380890166106053
16.61715654921401,0.11323890758698439,7.995448994880376,6.48781088260001
18.286163954710364,0.11656659867249201,16.91786773625926,11.418588612045422
21.713836045289632,0.116566598672492,22.25993811694697,15.314375937012926
23.38284345078599,0.1132389075869844,15.17236338439852,14.828048498464591
26.617156549214005,0.11323890758698439,22.4439608225233,19.588127198627465
28.286163954710364,0.11656659867249201,28.1914021704112,24.202455109091698
31.713836045289632,0.11656659867249201,35.39032949517702,29.451235173176297
33.382843450785984,0.11323890758698439,32.12036911993105,30.824898941100187
36.617156549214,0.11323890758698439,41.04104294225656,36.66399988241269
38.28616395471036,0.116566598672492,42.66844930364933,40.35407832540592
41.71383604528963,0.11656659867249199,50.857313048261865,46.32277078913538
43.38284345078599,0.11323890758698439,52.054933418128996,49.441985242262554
46.617156549214,0.11323890758698439,61.54952073191118,55.6558266752505
48.28616395471036,0.116566598672492,58.60551467000081,57.925334128529386
51.713836045289625,0.11656659867249201,66.79746086718545,63.89402659225885
53.382843450785984,0.11323890758698438,72.57494966871586,68.43381203510037
56.61715654921401,0.11323890758698439,81.49872966285334,74.27291297641288
