step,mechanical_time_ms,phase,heating_fraction,thermal_time_seconds,maximum_temperature_c,monitor_stress_magnitude_mpa,maximum_principal_stress_magnitude_mpa,maximum_damage,yielded_interfaces,broken_interfaces,maximum_opening_um,maximum_slip_um,kinetic_energy_j,bulk_strain_energy_j,cohesive_stored_energy_j,fracture_dissipation_j,damping_dissipation_j,kinetic_to_internal_ratio
5400,0.16088895423879832,heating,0.5,3000.0,140.0,76.00785634588334,249.18743294840007,1.0,60,30,0.31302492124477926,17.062014123993844,154.74533848580145,2255798.688862487,2576.7025772377892,78.24370740077957,3056.1924142352914,6.852064500541274e-05
5700,0.16982722947428713,heating,0.5,3000.0,140.0,76.31928847103805,254.71386897006585,1.0,60,30,2.4712689338325555,16.02944974859974,156.0622918551566,2255785.6826182823,2567.444160366229,78.24370740077957,3130.6066355355993,6.910446820943648e-05
5999,0.17873571045899095,heating,0.5,3000.0,140.0,76.41479470629336,256.62349933226653,1.0,60,30,0.4266135899223068,14.40926554978356,147.27500961498455,2255769.1459616423,2575.6915833237094,78.24890062336351,3203.282851521492,6.521369419166578e-05
6000,0.17876550470977592,heating,0.5833333333333334,3500.0,140.0,77.3500226336708,257.80605244050435,1.0,60,30,0.43018055497612895,14.416712367017903,147.17134467865273,2257411.2199628307,2574.634549881226,78.24890062336351,3203.5192964213825,6.51204716103788e-05
6300,0.18770377994526471,heating,0.5833333333333334,3500.0,140.0,77.32332081161029,253.5371401991157,1.0,60,30,0.30080398535358216,14.53884217121385,147.0556609540377,2257291.434581225,2576.4722178085294,78.24890062336351,3274.5481100177353,6.507267991709001e-05
6600,0.1966420551807535,heating,0.5833333333333334,3500.0,140.0,77.3147855790668,251.15865644814997,1.0,60,30,0.2915188823285365,15.455312436760646,144.63984753164704,2257199.2105111103,2568.5037613392396,78.24890062336351,3344.33827652306,6.400651120826151e-05
6899,0.20555053616545735,heating,0.5833333333333334,3500.0,140.0,77.29830118149016,253.0646750009104,1.0,60,30,0.12006867488727865,15.035440904834728,138.52527746379266,2257135.248759261,2573.184054254179,78.24890062336351,3412.9742689298723,6.130227929065955e-05
6900,0.2055803304162423,heating,0.6666666666666666,4000.0,140.0,78.33344670577135,254.0892103338071,1.0,60,30,0.12459321134989161,15.031952582097627,138.45266276076308,2258688.1664893595,2573.276777082777,78.24890062336351,3413.1967064299,6.122806505768972e-05
7200,0.21451860565173111,heating,0.6666666666666666,4000.0,140.0,78.2953734394657,256.6677912812346,1.0,60,30,0.24511047035878883,14.075861329367441,140.60864359604355,2258545.708944443,2584.0195176760544,78.24890062336351,3480.4948095875575,6.218512888761888e-05
7500,0.2234568808872199,heating,0.6666666666666666,4000.0,140.0,78.31233902880697,254.75889489881993,1.0,60,30,0.07861616418339085,13.904749910508128,137.18050533487258,2258489.902876389,2578.6722005034862,78.24890062336351,3548.0847054818014,6.067065229554458e-05
7799,0.23236536187192372,heating,0.6666666666666666,4000.0,140.0,78.29324108384485,255.64898234700613,1.0,60,30,0.051252617456759776,15.402734553143008,132.13438808283448,2258414.0723206946,2583.725157558397,78.24890062336351,3612.9829496429347,5.844074161868147e-05
7800,0.2323951561227087,heating,0.75,4500.0,140.0,79.40769571120607,256.4140398093327,1.0,60,30,0.046756158309623076,15.413342998881328,132.0796219407002,2259893.8352958146,2583.322245120226,78.24890062336351,3613.195148240804,5.8378322848685166e-05
8100,0.2413334313581975,heating,0.75,4500.0,140.0,79.36363866840868,255.06621408882123,1.0,60,30,0.03807740304603891,15.131522963417966,134.19203904676323,2259829.053270336,2580.1138990805753,78.24890062336351,3678.079212221374,5.9313779750395836e-05
8400,0.2502717065936863,heating,0.75,4500.0,140.0,79.38194638985907,256.950353865427,1.0,60,30,0.07309875866923643,14.250939989501415,133.48111643810188,2259744.660095754,2579.8213789752704,78.24890062336351,3742.9558769781906,5.90017557300579e-05
8699,0.2591801875783901,heating,0.75,4500.0,140.0,79.37555789251843,256.49262958483143,1.0,60,30,0.12786506042930168,14.455953383055741,129.68982599881463,2259686.1745489086,2581.7631714769072,78.24890062336351,3806.393109273102,5.732735006159301e-05
8700,0.2592099818291751,heating,0.8333333333333334,5000.0,140.0,80.55135040058198,257.16993139983936,1.0,60,30,0.11391119565344478,14.463402942958794,129.69614077271422,2261104.462447781,2582.031982765387,78.24890062336351,3806.6014785795596,5.729421503013411e-05
9000,0.2681482570646639,heating,0.8333333333333334,5000.0,140.0,80.52198536347876,255.6776409254657,1.0,60,30,0.058579394483728404,14.349009484951425,131.96684768758152,2261018.801940489,2584.3615850646643,78.24890062336351,3870.085686822251,5.829946247382144e-05
9300,0.2770865323001527,heating,0.8333333333333334,5000.0,140.0,80.53877485611801,256.6829326873464,1.0,60,30,0.06599429993047264,14.96521926685922,130.7136749460682,2260972.3533486067,2573.169358136125,78.24890062336351,3933.5435160050215,5.774731439452611e-05
9599,0.2859950132848565,heating,0.8333333333333334,5000.0,140.0,80.50310507394097,254.7622984117876,1.0,60,30,0.052425301282680734,15.170353548264938,127.35177234014643,2260894.93433787,2575.691722745778,78.24890062336351,3995.7254111733387,5.626393860555269e-05
9600,0.28602480753564147,heating,0.9166666666666666,5500.0,140.0,81.72428841941445,255.37117376215906,1.0,60,30,0.05681745130035319,15.171147881850171,127.4102569056107,2262259.3254927136,2575.8571552176927,78.24890062336351,3995.930107987823,5.6255862626016356e-05
9900,0.29496308277113026,heating,0.9166666666666666,5500.0,140.0,81.6464967496139,254.90016160409502,1.0,60,30,0.09472328844923018,14.72380784043954,129.6002789279834,2262166.7406698237,2580.4399533486812,78.24890062336351,4058.0497337270745,5.722505365580026e-05
10200,0.30390135800661905,heating,0.9166666666666666,5500.0,140.0,81.60476914322683,257.05040393654394,1.0,60,30,0.08039226325820094,14.3310409854395,128.50205605363576,2262113.361522666,2577.4098456801617,78.24890062336351,4120.370349543231,5.6741546209416344e-05
10499,0.3128098389913229,heating,0.9166666666666666,5500.0,140.0,81.5126117176156,256.76355618626485,1.0,60,30,0.0806662301094189,14.773033052110991,125.2782505944633,2262052.4530256647,2579.5934448904413,78.24890062336351,4181.326156742295,5.5319472666524495e-05
10500,0.31283963324210784,heating,1.0,6000.0,140.0,82.7660469163878,257.23337358718504,1.0,60,30,0.08108672853773853,14.76042304817696,125.30148418228453,2263369.3464596705,2579.77553799119,78.24890062336351,4181.527465610868,5.529757176181374e-05
10800,0.32177790847759663,heating,1.0,6000.0,140.0,82.6380182718216,255.25431164823948,1.0,60,30,0.0754223723932155,15.148580491762402,127.07432807526496,2263272.6278775847,2580.06231872339,78.24890062336351,4242.421390402999,5.608234313955139e-05
11100,0.3307161837130855,heating,1.0,6000.0,140.0,82.54847875240871,255.00416190494562,1.0,60,30,0.10781170826225005,14.960186260421157,126.10746829420714,2263216.3850707966,2582.8322471399397,78.24890062336351,4303.431661892809,5.56569475928598e-05
11399,0.3396246646977893,heating,1.0,6000.0,140.0,82.41200957951814,256.0210346963911,1.0,60,30,0.10314947807096823,14.679194140733042,123.4491200196743,2263160.309886795,2579.3589916887,78.24893927602744,4363.320727112028,5.4485129829933314e-05
11400,0.33965445894857427,heating,1.0,6000.0,140.0,82.4116515370858,256.0496271525355,1.0,60,30,0.10445329456221696,14.651623008016314,123.32836117622332,2263160.2780288868,2579.4435685171643,78.24893927602744,4363.518865968988,5.4431830805911685e-05
